Country,Year,1st_pillar_Institutions,2nd_pillar_Infrastructure,3rd_pillar_Macroeconomic_environment,4th_pillar_Health_and_primary_education,5th_pillar_Higher_education_and_training,6th_pillar_Goods_market_efficiency,7th_pillar_Labor_market_efficiency,8th_pillar_Financial_market_development,9th_pillar_Technological_readiness,10th_pillar_Market_size,11th_pillar_Business_sophistication_,12th_pillar_Innovation,Global_Competitiveness_Index,Population,GDP,Income group,Region,Forum_classification
Albania,2007,3.141744806,2.051676114,4.686575293,5.458579528,3.1519065139999998,3.505968306,4.117654544,3.659731068,2.9956383410000003,2.526907464,3.345207292,2.099299283,3.482580215,3010849,7977,Upper middle income,Emerging and Developing Europe,Europe and North America
Albania,2008,3.3231334869999998,2.217504774,4.55997215,5.470428925,3.397013732,3.612283268,4.359040679,3.699868765,2.890777447,2.6627262380000003,3.270224135,2.218237655,3.550002867,2968026,8644,Upper middle income,Emerging and Developing Europe,Europe and North America
Albania,2009,3.6190447239999997,2.844923763,4.236628064,5.479032458,3.554213246,3.888866844,4.408427597,3.929188382,3.1880850489999997,2.82470586,3.3707739219999997,2.429968207,3.724123922,2929886,8994,Upper middle income,Emerging and Developing Europe,Europe and North America
Albania,2010,3.957185107,3.4643139389999997,4.212275845,5.874698517000001,3.8551784839999996,4.188979234,4.458867768999999,3.7409279910000004,3.526929463,2.8390793860000003,3.6077542960000004,2.566653851,3.943731275,2901883,9374,Upper middle income,Emerging and Developing Europe,Europe and North America
Albania,2011,4.0065110630000005,3.8694625680000003,4.521113316,5.725063856,3.971837717,4.463346594,4.5677751639999995,3.587813885,3.7559747669999997,2.855426941,3.7817171519999997,2.579218467,4.06377645,2886010,9640,Upper middle income,Emerging and Developing Europe,Europe and North America
Albania,2012,3.648976243,3.475729792,4.270366599,5.555014171,4.111920984,4.3283197410000005,4.400664921000001,3.3798904710000004,3.6929195139999997,2.892702468,3.588321693,2.6306871,3.906493962,2880667,9811,Upper middle income,Emerging and Developing Europe,Europe and North America
Albania,2013,3.319568799,3.32546844,4.406858205,5.899012525,4.171320498,4.057770322,4.329643818,3.2679556730000003,3.3303135389999996,2.924290871,3.438396137,2.7969148639999997,3.84696424,2883281,9961,Upper middle income,Emerging and Developing Europe,Europe and North America
Albania,2014,3.3819548110000004,3.516751619,3.8241045710000003,5.847672617000001,4.53452579,4.151831147,4.017208816,3.392237156,3.3032039230000003,2.9413939,3.6074418789999996,2.7347220269999997,3.835856618,2889676,10160,Upper middle income,Emerging and Developing Europe,Europe and North America
Albania,2015,3.683275755,3.553719594,3.9627405710000003,5.973239675,4.744914943,4.3374553,3.969118145,3.241333505,3.395936755,2.973965629,3.651701785,2.76467209,3.92667661,2896679,10620,Upper middle income,Emerging and Developing Europe,Europe and North America
Albania,2016,3.832056007,3.4741169989999996,4.277402286,6.251636613,4.904494883,4.33424927,3.932139982,3.5911148539999997,3.659868506,2.87395221,3.661936504,2.961890289,4.056030839,2924076,9841,Upper middle income,Emerging and Developing Europe,Europe and North America
